Cancer	P_values	Methods
Each Cacner	18.10353227	OncodriveCLUST
Each Cacner	35.55619649	OncodriveCLUST
Each Cacner	32.32451168	OncodriveCLUST
Each Cacner	23.365291	OncodriveCLUST
Each Cacner	23.6249487	OncodriveCLUST
Each Cacner	0	OncodriveCLUST
Each Cacner	10.04877636	OncodriveCLUST
Each Cacner	17.32541723	OncodriveCLUST
Each Cacner	12.12487359	OncodriveCLUST
Each Cacner	27.45200184	OncodriveCLUST
Each Cacner	11.58552229	OncodriveCLUST
Each Cacner	3.455931956	OncodriveCLUST
Each Cacner	25.37466561	OncodriveCLUST
Each Cacner	16.74911463	OncodriveCLUST
Each Cacner	15.82377845	OncodriveCLUST
Each Cacner	19.42575157	OncodriveCLUST
Each Cacner	8.30100828	OncodriveCLUST
Each Cacner	68.03703799	OncodriveCLUST
Each Cacner	18.10353227	OncodriveCLUST
Each Cacner	15.82377845	OncodriveCLUST
Each Cacner	0	CHASM
Each Cacner	11.23612082	CHASM
Each Cacner	14.9510981	CHASM
Each Cacner	9.630377542	CHASM
Each Cacner	0	CHASM
Each Cacner	13.08729133	CHASM
Each Cacner	3.928249318	CHASM
Each Cacner	4.437511365	CHASM
Each Cacner	10.74690945	CHASM
Each Cacner	11.28605498	CHASM
Each Cacner	2.126003264	CHASM
Each Cacner	11.31530838	CHASM
Each Cacner	4.364874774	CHASM
Each Cacner	15.38530372	CHASM
Each Cacner	12.42998942	CHASM
Each Cacner	7.091331983	CHASM
Each Cacner	8.133346272	CHASM
Each Cacner	6.156910649	CHASM
Each Cacner	1.700386294	CHASM
Each Cacner	5.561822851	CHASM
Each Cacner	5.520888148	CHASM
Each Cacner	6.09505256	CHASM
Each Cacner	9.535185474	CHASM
Each Cacner	18.74619718	CHASM
Each Cacner	2.890406503	CHASM
Each Cacner	6.601520786	CHASM
Each Cacner	10.97785406	CHASM
Each Cacner	8.072303971	CHASM
Each Cacner	6.175738973	CHASM
Each Cacner	3.82401954	CHASM
Each Cacner	14.48388789	CHASM
Each Cacner	12.11587294	CHASM
Each Cacner	8.137083201	CHASM
Each Cacner	3.823908741	e-Driver
Each Cacner	25.34862226	e-Driver
Each Cacner	14.51871662	e-Driver
Each Cacner	11.72168792	e-Driver
Each Cacner	0	e-Driver
Each Cacner	17.8349756	e-Driver
Each Cacner	0	e-Driver
Each Cacner	6.560645591	e-Driver
Each Cacner	5.389752563	e-Driver
Each Cacner	18.87109173	e-Driver
Each Cacner	0	e-Driver
Each Cacner	9.782450909	e-Driver
Each Cacner	3.045844362	e-Driver
Each Cacner	0	e-Driver
Each Cacner	16.62914519	e-Driver
Each Cacner	11.32595071	e-Driver
Each Cacner	23.27090539	e-Driver
Each Cacner	7.700871824	e-Driver
Each Cacner	0	e-Driver
Each Cacner	3.397940009	e-Driver
Each Cacner	6.853850249	e-Driver
Each Cacner	3.698970004	e-Driver
Each Cacner	9.782450909	e-Driver
Each Cacner	3.124938737	e-Driver
Each Cacner	3.823908741	e-Driver
Each Cacner	10.48380424	e-Driver
Each Cacner	11.95956411	e-Driver
Each Cacner	3.602059991	e-Driver
Each Cacner	3.397940009	e-Driver
Each Cacner	0	e-Driver
Each Cacner	44.30176314	e-Driver
Each Cacner	9.782450909	e-Driver
Each Cacner	0	e-Driver
Each Cacner	4.301029996	ActiveDriver
Each Cacner	1.86734237	ActiveDriver
Each Cacner	2.319508055	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	3.522900462	ActiveDriver
Each Cacner	5.865019403	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	8.292820876	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	6.083654657	ActiveDriver
Each Cacner	9.001021949	ActiveDriver
Each Cacner	4.946118382	ActiveDriver
Each Cacner	4.46777674	ActiveDriver
Each Cacner	1.923087174	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	3.698970004	ActiveDriver
Each Cacner	3.301029996	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	9.812771265	ActiveDriver
Each Cacner	1.902027999	ActiveDriver
Each Cacner	3.602059991	ActiveDriver
Each Cacner	10.58080555	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	4.112526098	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	0	ActiveDriver
Each Cacner	7.30100828	MuSiC
Each Cacner	73.52578263	MuSiC
Each Cacner	44.3557844	MuSiC
Each Cacner	29.67272249	MuSiC
Each Cacner	0	MuSiC
Each Cacner	31.11638081	MuSiC
Each Cacner	10.80778816	MuSiC
Each Cacner	9.286681609	MuSiC
Each Cacner	31.9767144	MuSiC
Each Cacner	33.13871556	MuSiC
Each Cacner	4	MuSiC
Each Cacner	19.13786344	MuSiC
Each Cacner	3.346787486	MuSiC
Each Cacner	11.26090698	MuSiC
Each Cacner	49.24779148	MuSiC
Each Cacner	25.64122242	MuSiC
Each Cacner	17.48363641	MuSiC
Each Cacner	17.50712143	MuSiC
Each Cacner	11.12487359	MuSiC
Each Cacner	5.298155905	MuSiC
Each Cacner	16.76110959	MuSiC
Each Cacner	3.602059991	MuSiC
Each Cacner	14.20055134	MuSiC
Each Cacner	16.9135014	MuSiC
Each Cacner	12.12487359	MuSiC
Each Cacner	16.98585441	MuSiC
Each Cacner	22.80535884	MuSiC
Each Cacner	11.12487359	MuSiC
Each Cacner	13.02452478	MuSiC
Each Cacner	7.52285703	MuSiC
Each Cacner	63.97049195	MuSiC
Each Cacner	19.47096639	MuSiC
Each Cacner	17.67756354	MuSiC
