gene,pvalue
RPL17,0.8530688
HSD17B10,0.85280836
CRK,0.8522541
APC,0.8521969
RPS26,0.85218686
RPS14,0.852121
MYH9,0.8519694
KRT40,0.8514124
MAPK14,0.8512722
SF3B4,0.85125923
UBA52,0.851227
PRPF3,0.8512083
PAN2,0.8508972
CASP3,0.85089636
RPS27,0.8508748
SF3B6,0.85061777
SRSF5,0.8505281
PPP1CC,0.8503515
IKBKB,0.8497607
CHUK,0.8496989
TNF,0.84949803
UBE2L6,0.84941494
RPS15,0.8492743
SF3A3,0.84892166
TUBG1,0.8485894
SNRPD1,0.8484405
RPS24,0.8482665
RBM17,0.8482396
TRIM25,0.8481698
RPL36,0.84812224
USP7,0.8480894
MCM3,0.8476872
HIF1A,0.8472778
SOS2,0.84727687
SNRPB2,0.84726906
ARRB1,0.84726226
PDHA1,0.8472576
RPL35,0.8470106
TUBB,0.84667796
SNRPF,0.84655666
U2SURP,0.84638
UBE2N,0.8461505
PRKDC,0.8461242
SRPK2,0.8458829
RPL38,0.84587973
TRA2A,0.8458772
STUB1,0.8458725
SNU13,0.845466
UBE2L3,0.8453948
RPL28,0.8453158
SNCA,0.84518325
PNN,0.8449116
RPS12,0.8448553
FLNC,0.84462106
RPLP2,0.8445687
KRT34,0.8442189
NFKBIA,0.8441986
JUN,0.84396327
DDX46,0.8439536
MAP3K7,0.8439112
PSMA2,0.8436371
VCAM1,0.84362173
RPL35A,0.8434924
RBX1,0.8434229
SNRPD2,0.8432951
SART1,0.8429877
PLRG1,0.8426608
PALB2,0.8423807
PSMC5,0.84235454
NF2,0.84234095
UBE2E1,0.84206426
HNRNPC,0.8420404
BCAS2,0.8419823
CLTC,0.8418917
FBXO25,0.84188294
SNRPB,0.8417463
PSMA5,0.84161985
RPL5,0.8415303
MAPK8,0.8415298
GSK3B,0.84144783
HSPA9,0.8411349
PIK3CA,0.840959
RPS28,0.840763
AKT2,0.8406112
RAN,0.84059584
PRPF4,0.84038395
PDGFRB,0.8403263
TXN2,0.8403021
KRT15,0.8402674
ACTG1,0.84003067
ELOC,0.83999085
NTRK2,0.83992803
PABPC1,0.83977175
IRAK1,0.8396565
PSMB2,0.83923787
PLK1,0.83898777
MAPK6,0.8389796
ALYREF,0.838819
HDAC6,0.83870256
HSPA6,0.8385725
MCM4,0.83824325
FBXW7,0.8382001
SNRPA1,0.83810616
PSMD4,0.83787537
PSMA7,0.8378582
RPL32,0.8376872
USP39,0.83756393
MAP2K1,0.8374078
SNRNP70,0.8372847
AP2M1,0.8370184
SRSF2,0.8369837
BAG3,0.8369414
CUL4B,0.8368268
SNRPD3,0.83654755
SKP2,0.8365022
PSMB5,0.836364
VIM,0.83634984
PSMA4,0.8362993
PSMB4,0.83585685
ERBB4,0.8357681
SNRPE,0.8357672
ITGA4,0.8357638
RPL11,0.8356294
CLU,0.83523846
RPS6,0.8351432
SOD1,0.8351137
CAPZA2,0.8351002
DDIT4L,0.83503807
RBMX,0.8349702
MAGOH,0.834939
RPS17,0.8349008
PSMA6,0.8347177
TUBA1A,0.83468264
NR3C1,0.8345599
STAT3,0.83437175
KRT18,0.83431405
PLCG1,0.83419865
KRT14,0.83419627
TRAF3,0.83410835
SIAH1,0.834061
RPL13A,0.8339406
PPP2R1A,0.8338868
MCM6,0.8337697
HDAC5,0.83375645
HRAS,0.8336046
HDAC4,0.83351743
PRPF31,0.8334049
PSMD2,0.8332223
CDK6,0.83313406
DHX8,0.83313364
PRKAB1,0.8331326
PAK2,0.83302546
PPIE,0.8328378
KRT16,0.8327311
HNRNPA2B1,0.8326638
CDK4,0.83262897
TRA2B,0.83251023
HERC2,0.83247185
KRAS,0.83239853
RPL34,0.8323599
BCAR1,0.83226794
UBE2A,0.83226746
SOX2,0.8322153
CDK1,0.8321518
TAB2,0.83207506
ESR2,0.83204925
SHC4,0.8319564
SRSF10,0.8319191
LDHB,0.83183324
POLR2A,0.8317932
PSMB6,0.8313679
NFKB2,0.8313637
MMP2,0.8311765
SF3B3,0.8311585
MYO6,0.8310623
YAP1,0.83085537
NCOA3,0.8305062
KRT27,0.83027565
CDC37,0.83023924
MAPK9,0.8298391
TGFBR1,0.8298337
RPL26,0.8297634
SNRNP200,0.8296532
FBXO7,0.829626
PSMB3,0.82953686
UTP14A,0.8295121
TUBA1C,0.8295088
PARK7,0.8294956
MYD88,0.829481
YWHAG,0.8293512
IFI16,0.8292273
COL4A5,0.8291311
CCNE1,0.829016
NCBP1,0.82881874
RPS3,0.8287939
TUBB4B,0.82865214
PSMD3,0.8285599
NFKBIE,0.82853115
CALR,0.82848394
KRT13,0.8284037
PIK3R2,0.82838815
WWP2,0.82837903
TUBB6,0.8279688
TBK1,0.8279049
TUBB2A,0.8278997
FRMD6,0.8278192
PRPF38A,0.8276179
IPO13,0.8270005
PRPF19,0.82688
PUF60,0.82675475
MED4,0.82657695
NCL,0.8263871
SYF2,0.82633173
PSMD1,0.8263313
A2M,0.8263075
SH3KBP1,0.82623446
ZBTB16,0.82597345
PRPF40A,0.82587194
SNRPG,0.82585967
MRPL4,0.8257742
UBE2E3,0.82571065
DLD,0.8256266
NXF1,0.82554734
SNRNP40,0.8255422
RAD21,0.82549304
LDHA,0.8254864
EPAS1,0.82546306
EIF4A3,0.8253881
SRSF9,0.8253864
BIRC2,0.8253288
SOS1,0.8253132
WASL,0.8252983
TNFRSF1A,0.8252815
SF3B5,0.8251771
TAB1,0.82493204
LCK,0.82489383
RPS19,0.824749
E2F1,0.8246926
NCK1,0.82451725
LNX1,0.82442653
KRT17,0.8243637
RPS7,0.82435244
DCTN1,0.8243496
ARNT,0.8243226
MMP9,0.8242626
PSMD12,0.82416284
RNF31,0.8241524
COL4A2,0.8241352
CSNK1A1,0.8239841
CAV1,0.823902
LSM8,0.8238131
HDAC3,0.8237416
PSMC3,0.8236434
STAT5A,0.82361364
UBE2S,0.8235345
PTK2,0.82350725
PSMC6,0.82322663
AZI2,0.82321024
VCL,0.82315874
COL1A1,0.823095
SRSF4,0.8230419
PSMB7,0.82298774
KPNB1,0.82292145
RPL29,0.8228134
YWHAH,0.82269377
PSMD11,0.8226204
ENO2,0.82259315
RPS21,0.82254493
XRCC6,0.8224292
CRNKL1,0.82241195
TPM3,0.8224039
FAAP100,0.8222474
MRPL28,0.82223547
DEFA1B,0.82219094
WBP11,0.82212853
POMP,0.82212013
HSPB2,0.821713
SDCBP,0.82166386
PDGFRA,0.82152385
OTX1,0.82144594
TRIP6,0.8213726
SSX2,0.82136905
RPL23,0.8213606
PSMD7,0.8213321
SMURF1,0.82122946
FANCC,0.8212265
ZMAT2,0.8210837
SSX2B,0.82086813
MRPL12,0.82079804
TGFBR2,0.82074547
PAK1,0.8206384
JUP,0.82044184
PSMD9,0.8203672
ACTR2,0.82016605
CTNNA1,0.8201513
CCND1,0.820006
PPP1R12A,0.8199457
DEFA1,0.81981266
PRKAA2,0.81968707
PRPF18,0.819596
ALB,0.81924695
PPP2CA,0.81919885
PSME1,0.8191988
PRPF6,0.81914973
HSPA2,0.8190934
CDC42,0.81878567
UBQLN1,0.81874025
CCND2,0.8187393
XAB2,0.8186526
TNFAIP3,0.81857586
CREB5,0.81846416
PSMC2,0.81843805
XRCC5,0.81830585
RELB,0.81826365
BARD1,0.81817645
KRT35,0.81817436
UBE2E2,0.81809616
PRKAA1,0.8178215
DDB1,0.81765056
ENO3,0.8175785
PIN1,0.81753194
RCHY1,0.8174633
NEFM,0.8174468
HLA-B,0.81742847
GOLGA2,0.8173109
DHX38,0.81729734
KRT33B,0.8172044
GSN,0.817093
KRT10,0.8170845
ATF2,0.8170743
MRPL9,0.81681216
SRSF6,0.81679285
MRPS9,0.8166543
KRT38,0.8166193
PSMD8,0.8163285
PSMC4,0.81631696
NUP50,0.81628036
UBE2K,0.8159454
PRKAB2,0.8159288
CCNA2,0.8159
CDC14B,0.81579226
ACTR3,0.8157213
ERBB3,0.81560814
DES,0.81555617
THOC1,0.8154888
PSME2,0.8154783
CWC15,0.8153881
TRAF5,0.8152033
ELOB,0.8148076
SMNDC1,0.8147341
IRS1,0.8146259
IPO11,0.81460476
NUP153,0.81452835
PSMB8,0.8144393
NUP107,0.8143951
KRT19,0.8143536
FKBP5,0.81434953
SCUBE2,0.81423986
POLR2E,0.8139585
STAT1,0.81392086
DSP,0.81374514
TARDBP,0.81372994
PCNA,0.8135664
UBXN4,0.8134266
TXNL4A,0.81341064
CDC16,0.81334776
FANCA,0.8133344
MRPL23,0.81326246
SMURF2,0.81308234
APOE,0.81300235
DDX23,0.8129252
FBL,0.81291056
NCK2,0.8128989
FUS,0.8126898
NUP214,0.8125814
CDK9,0.8125738
MYO1C,0.8125331
WWP1,0.8125169
SPRY2,0.81250477
NOTCH1,0.8124809
SNRPC,0.81240606
KEAP1,0.8123912
HNRNPUL1,0.8123851
FCF1,0.8121349
RASAL2,0.8121135
AP2A1,0.8120169
EPS15,0.8119601
STAT5B,0.81195426
P4HB,0.8119318
UBE2M,0.81191504
MAP3K14,0.81184804
RARA,0.81165123
OS9,0.81164575
TUBB4A,0.81163025
KRT37,0.81156015
TPM2,0.81152284
PTGES3,0.81152177
XIAP,0.81136966
COL2A1,0.8112545
ISY1,0.8112501
NCOA1,0.81119967
TFG,0.8111772
COL1A2,0.81116295
ACTR1A,0.811026
PRKCB,0.81102467
MAPK10,0.8110081
U2AF1,0.81100196
LSM2,0.8109921
ARPC2,0.81096065
CAMK2A,0.8107013
HSPA1A,0.8106958
SRPK1,0.8106701
KRT24,0.8105974
CKB,0.8105563
RBM8A,0.8105373
IPO9,0.8104867
NUDT21,0.8103137
IMP3,0.8102268
CCNA1,0.8101386
VAV2,0.8100866
JAK2,0.8100845
U2AF1L5,0.80997753
PDHB,0.8099768
VAV1,0.8099259
BCL10,0.80986184
CASC3,0.8097497
DVL2,0.8096487
RPL36A,0.80964607
DNM1L,0.80961204
JAK1,0.8095738
INSR,0.80955446
CPSF7,0.8094485
PDGFB,0.80932546
RNF7,0.8092886
MTOR,0.80922073
MYL7,0.8091568
UBOX5,0.80913043
SERPINB5,0.8091191
PIK3R3,0.8090844
EZH2,0.80905235
CREB1,0.80901194
MRPL13,0.8090078
FGFR2,0.8090002
DDX39B,0.80891603
MLH1,0.80887955
CDC23,0.8087
MAP1LC3B,0.80864114
AQR,0.80858505
UBE2C,0.80858326
NANOG,0.80845225
POU5F1,0.8084172
FBXO2,0.8083974
HOXA1,0.8083199
KRT20,0.8081867
CTTN,0.8081666
PABPC4,0.8081341
KRT28,0.8081143
MAPT,0.8080826
BIRC3,0.80806816
COL4A1,0.80801904
MRPL10,0.80798435
DKC1,0.80797076
UPF3B,0.80787295
TPM1,0.80786633
FGFR1,0.8078346
CSTF2,0.8077826
SSR2,0.8077714
TNFRSF17,0.80776775
PSMB9,0.8076906
CSNK1E,0.8076901
RPS6KB2,0.80767953
LAMB3,0.8075022
RAD23B,0.80744743
ANAPC13,0.8074266
PSMC1,0.80733657
PSMD6,0.80720276
LAMB1,0.8070929
LSM3,0.8070239
ARPC3,0.8069891
NME2,0.80694854
ZNF417,0.80693954
UBE2D1,0.8067703
CD4,0.8067379
IL24,0.80665106
SERPINA1,0.80664915
TRIM32,0.8065598
ATG12,0.8065548
LSM4,0.80650824
MAP1LC3A,0.8064079
KPNA2,0.806383
RUVBL1,0.8062634
POLR1C,0.8062525
POLR2B,0.8062489
PLAUR,0.806173
KRT39,0.8060795
ABI1,0.80607414
TLR4,0.8060653
AFF1,0.80600166
DHX16,0.8059508
PGM1,0.805927
GADD45G,0.8059148
RPLP1,0.8058975
CRKL,0.80580664
PRKCI,0.8057004
CSE1L,0.80563855
DEFA5,0.80557007
UTP18,0.8053287
MRPL11,0.80519193
BABAM1,0.80516434
NUP93,0.8051144
SEC23A,0.805092
LSM6,0.80508363
CFI,0.80505204
UBR5,0.80491585
CDK5,0.8048973
MTREX,0.8048872
RUNX2,0.80467147
TPM4,0.80466384
TP63,0.80462575
EDC4,0.8046136
CUL4A,0.8044478
HBA1,0.80443656
PABPC3,0.8043264
CAPN1,0.8042948
SEC24C,0.8042364
LAMA1,0.8042121
LATS2,0.80417246
KRT25,0.8038516
CD40,0.8038232
CAPZA1,0.8038219
HBA2,0.8037605
ECHS1,0.8037566
TRADD,0.8037509
LAMB2,0.803704
MATR3,0.80368996
CSTF3,0.8036463
CDKN1B,0.8036
PSMD14,0.80359304
XPO7,0.8035144
GADD45A,0.8035053
CDC20,0.80348384
MRPS5,0.80336493
MOB1A,0.8033279
DNM2,0.8033136
PFAS,0.8031604
UPF2,0.8031471
IDH3A,0.80307484
MRPS11,0.80299634
EIF4G1,0.80297315
TNPO2,0.80292416
ARPC4,0.8028175
CAPZB,0.8027145
RFC5,0.80269265
MAPKAPK3,0.8026043
RANBP2,0.80250376
KLK3,0.8024267
ARF6,0.8023957
LSM5,0.8022655
SMARCA4,0.8022604
TSG101,0.8021624
DDIT3,0.80209225
MRPL15,0.8020377
IPO5,0.80194724
RFC4,0.80194044
CDC40,0.80190563
NUP133,0.80188054
SRSF3,0.80186105
MYL10,0.8018605
ITGB1,0.8016662
GABARAPL1,0.8016614
NXT1,0.8016014
AP2B1,0.8015305
UBE2B,0.80150145
UBE2D3,0.8012481
APOA1,0.8012349
HSPA1B,0.80122805
PSME3,0.8010565
FHL2,0.8008257
NFATC2,0.80074966
FIP1L1,0.80069864
ZAP70,0.80069846
CDK5R1,0.8006791
NEFL,0.8006104
MMP7,0.8005809
ORC6,0.8005471
DSG1,0.80054545
UBQLN2,0.8005272
SRSF8,0.8002131
LSM7,0.80012214
MRPS7,0.80007505
JAK3,0.80006385
EXOSC5,0.800032
NUP43,0.7999475
ELAVL1,0.7999469
PELO,0.79990697
TUBA1B,0.79988307
AXIN1,0.7998029
ZNF746,0.7997937
TCERG1,0.79977536
MYL12B,0.79972076
RBM25,0.7996854
LIN52,0.799647
EZR,0.79962254
DYNLL1,0.7993821
MSH2,0.7993493
NUP155,0.7993216
KRT23,0.7992953
UCHL1,0.79905033
GABARAP,0.7990415
EXOSC4,0.7990172
MRPL14,0.79899514
DDB2,0.79899406
CCND3,0.7989541
NGFR,0.7989284
FLT3,0.79880637
ROCK1,0.7986924
TLN1,0.79867756
PIK3CB,0.7986743
RACK1,0.79867184
PDIA6,0.7986707
TOP3B,0.7986641
ERG,0.7986474
TXN,0.79841876
RXRA,0.7984101
THOC7,0.79840654
MRPL3,0.7983422
KRT26,0.7982615
ALDH1B1,0.79819286
MRPS2,0.79819095
FNBP1,0.79815996
ROCK2,0.79798955
MRPL19,0.7978829
VTN,0.797857
EIF4E2,0.79769605
MRPL2,0.7976836
RFC2,0.7975477
UPF1,0.7974875
DPYSL5,0.797481
BID,0.7974803
NUP54,0.7974787
EXOSC1,0.7974491
CHERP,0.79743075
MAPK12,0.7974051
XRN1,0.7972951
MRPL27,0.7972805
ARNT2,0.79725826
POLR2K,0.7972418
MAPK11,0.7971951
FGF2,0.7971233
RFC3,0.79707325
PPARGC1A,0.79703283
ALDH2,0.7969812
MRPL1,0.7969146
RHOA,0.7969023
MED13L,0.79686564
WDR33,0.7968609
UBA7,0.79685116
POLR2G,0.79683673
ZNF587,0.7968302
SMC1A,0.796826
PRKAG1,0.7968115
MRPL32,0.7967708
RPL37,0.79670763
ARPC5,0.79668206
CDC27,0.7964873
IL17RC,0.7964814
MAP1LC3C,0.7964179
WDR5,0.7964041
RHOBTB2,0.79635954
EXOSC8,0.796334
NFE2L2,0.7963276
GABARAPL2,0.79631317
PYCARD,0.7962205
TUBB1,0.7962105
CNOT10,0.7961349
STK11,0.7960779
KIT,0.796021
PGK1,0.7959751
RPS4Y1,0.79595315
ATP5F1C,0.79588175
MYH11,0.795705
DDX42,0.79562706
OXCT1,0.7955734
DAXX,0.7954523
POP1,0.79543984
SYVN1,0.79538935
TUBB2B,0.79538655
RPL41,0.7952962
MRPL16,0.7952851
NUP62,0.7952571
NUP85,0.7952323
SRSF1,0.7952215
PSEN1,0.79505527
IGF2BP1,0.79492587
PSMF1,0.7948402
PHF5A,0.79483354
ATG5,0.79482377
AP2A2,0.79480237
KAT5,0.79479903
ATP5F1B,0.7947931
KDM1A,0.7947616
APPL1,0.7946894
MAX,0.7946247
NUP205,0.7946212
NEFH,0.79460907
RXRB,0.794587
CELA2B,0.79458463
EXOSC10,0.7945285
COL23A1,0.7944852
TP53BP2,0.7943809
DAB2,0.79436725
ZNF792,0.79433835
CD2AP,0.79428506
GRIN2A,0.7942778
HNF4A,0.79421914
KRT32,0.79421014
MPHOSPH6,0.79412645
TYK2,0.7940948
SMAD7,0.79407537
LAMC2,0.79387873
RAD23A,0.79387796
ATF1,0.7938139
RPRM,0.79376173
ATP5PO,0.79371107
HK1,0.79368067
IPO7,0.79364365
PRPF40B,0.79359055
CEBPA,0.7935897
GNB2,0.7935748
MRPL20,0.7935536
RBBP4,0.7935003
ABL2,0.79346985
SRSF7,0.79333156
PRMT1,0.7933156
WT1,0.79328597
GTF2E2,0.79326147
MAP2K4,0.7932559
NUP98,0.7932288
RPS6KA3,0.7931627
SEC24A,0.79305077
NDUFAF8,0.79302895
TNPO3,0.79296064
RPS6KB1,0.7929319
TUBA8,0.79290956
GYPC,0.792875
TAS2R19,0.7928032
KDR,0.79274577
PML,0.79256815
MRPL21,0.7922578
PSMB10,0.79224336
RBPJ,0.7921859
UBXN1,0.7921247
NXT2,0.79208326
BUB1B,0.7920822
CPSF1,0.79205894
NGF,0.7920573
MKNK1,0.7920543
GORAB,0.792026
PINK1,0.792016
STAM2,0.7919779
EEF1A2,0.791964
CACNA1A,0.791901
NOP58,0.79182
FADD,0.7918131
NCOR2,0.79176414
TOMM40,0.7917287
ANAPC11,0.7916573
SMARCB1,0.7915889
POLR2C,0.79158664
POLD2,0.791537
HADHA,0.791518
HTN3,0.7915141
SYMPK,0.7915062
POLD1,0.7914724
ANXA2,0.79144305
UBE4B,0.7914046
HTT,0.79135084
PIK3CD,0.7913413
MAGOHB,0.7913026
TGFB2,0.79123914
KPNA1,0.791208
GNAI2,0.79116535
AIRE,0.79104203
MYLIP,0.79101133
STAT2,0.7909837
ACTN4,0.79096484
MRPS15,0.7908661
EIF4G3,0.79085624
MRPL18,0.7908071
PRCC,0.79077494
SSX2IP,0.7907321
NUP160,0.7906579
MRPS14,0.79052734
GNB1,0.7905263
IL1B,0.7905214
GRK5,0.7904841
PSTPIP1,0.7904598
POM121,0.7904475
RASA1,0.79044527
ALDOC,0.79026407
BECN1,0.7902465
FBN1,0.79019904
FBXO4,0.79017484
ANAPC2,0.7901554
EMD,0.79014194
GPR83,0.7901025
CKMT1B,0.7900436
SEC31A,0.7900219
SPTAN1,0.7898903
DNAH6,0.7898171
ANAPC4,0.78979844
UBA6,0.78975224
SLU7,0.7896983
GADD45B,0.78967994
TLX3,0.78967977
CPEB1,0.7896788
MLNR,0.78959054
CDKN2B,0.7894852
MED12,0.78948045
TBL3,0.78942287
GRIN2B,0.7894107
SMAD9,0.78927207
FANCL,0.78926367
CKMT1A,0.7892463
IRF3,0.7891048
FASLG,0.78910273
FAS,0.78910255
TNNI3,0.7890738
PPP2R2B,0.7890458
UBQLN4,0.78897464
KPNA3,0.78888315
RNASEH2A,0.7888786
NUP88,0.7888431
RPS6KA2,0.78882754
CSTF2T,0.7888206
IGF1R,0.7888133
XRN2,0.7887737
IRF7,0.78870964
VPS26A,0.788685
ARPC1B,0.7886788
UBE2T,0.78864926
KPNA5,0.7885334
SHARPIN,0.7885165
NUP58,0.78842825
NHLRC1,0.78842705
NME3,0.7883594
BRAF,0.788332
XPO6,0.788326
TOLLIP,0.78830755
NUP37,0.7881791
FGFR4,0.7880952
FAAP24,0.7880842
CHMP4B,0.7880077
COL4A4,0.7879919
TLR2,0.78797805
LDHAL6B,0.787965
COL4A3,0.7879605
SYNPO,0.78795385
ADRB2,0.7879116
SAP18,0.78789866
OPTN,0.78789246
CHEK1,0.7878768
FOS,0.7878663
MRPS18B,0.78776586
MRPL22,0.7877552
TUBB3,0.78758764
NFATC1,0.7875695
PPP2CB,0.7875358
UBE2G2,0.7875263
HBB,0.78751105
MYL6B,0.7874586
CKM,0.7873448
TAF1,0.7873208
CFL1,0.7872838
TIMP3,0.7872534
ITGB2,0.78724515
BMI1,0.7872313
MYH10,0.7871758
THRA,0.7871183
EIF3E,0.78709435
RAB1A,0.78705376
DNAH8,0.7870533
DYNC1H1,0.78705275
EXOSC9,0.7869794
MEN1,0.78693074
NUMBL,0.78692573
CLTB,0.7869078
NBN,0.78688335
SRRM2,0.78682727
ALDOA,0.78674924
BLM,0.78674877
IRAK4,0.78672504
NRAS,0.7866477
RPS6KA1,0.7866148
LATS1,0.7865328
CASP1,0.78652644
RNASEH2B,0.78649825
DAG1,0.78649753
MRPS6,0.78648776
EPN3,0.7864596
ALK,0.7863509
NPPA,0.78622556
DAPK3,0.78619736
SEC24D,0.78616065
IMP4,0.78615355
ANAPC16,0.78614396
EGLN1,0.78611517
FLT4,0.7861085
MRPS16,0.7860824
CPSF2,0.7860819
YES1,0.78607786
EXOSC2,0.78604233
SOAT1,0.7860373
CD1B,0.78603554
ENO1,0.78588676
PSME4,0.78585666
MAPK13,0.7858206
CCL11,0.78580016
VPS29,0.7857908
CEBPE,0.7857796
LSM1,0.7857679
VAV3,0.7857412
NR4A1,0.78568214
BCR,0.7856792
IRS2,0.7856622
IFNA8,0.7855978
EDARADD,0.7855215
UBE2W,0.7854924
CCDC6,0.7854757
HUS1,0.7854368
EXOSC6,0.7854368
RBCK1,0.7853943
NPLOC4,0.7853672
NFKBIB,0.7853353
PPID,0.7852186
CAMK2D,0.7852139
CNOT1,0.785165
AMFR,0.7851504
PRDX1,0.7850919
AMBRA1,0.785083
EGLN2,0.7850417
CCNE2,0.7849854
E2F2,0.784928
MED1,0.7849075
GTPBP4,0.7848005
PRKCZ,0.78472316
SEC24B,0.7847216
LMO2,0.78471917
ITGAV,0.7846031
MAP2K6,0.78460157
DCP1A,0.7845196
MRPS21,0.784517
RUNX1,0.78449345
NCOA2,0.78426254
CLTA,0.78419065
MRPL35,0.7841768
PDIA3,0.78412676
AMOT,0.7841178
ATF6,0.7840688
DNM1,0.78402394
BCL3,0.7839991
TLE1,0.7839787
EXOSC7,0.78392756
PPP3CA,0.7838792
SNX9,0.7838634
MRPS18A,0.78380907
DNAH14,0.78376526
RIF1,0.7837068
SMAD5,0.78362226
UQCRC2,0.78359675
PABPN1,0.78359556
GMPS,0.78358907
FBXO22,0.7834815
CAMK2B,0.78345644
KIF23,0.78343093
NUP188,0.7833967
FBXW8,0.78339094
IPO8,0.78338087
NEDD4,0.7833597
PDHA2,0.78329873
DNAJA3,0.783292
BUB1,0.7832165
PTCH1,0.7831912
PGM2,0.7831785
COL9A1,0.7831775
SH3GL2,0.78314483
NACA,0.78312945
MYO5C,0.7830462
PARD6A,0.783045
PPP2R2A,0.7830249
NKX3-1,0.7829635
SOCS6,0.7828893
NDUFS3,0.7828605
COL6A1,0.7828287
NCBP2,0.7827209
RANBP1,0.7827141
KPNA4,0.7826779
AP1M1,0.78260064
MPHOSPH10,0.7825737
POLR1B,0.7825712
DAPK1,0.78251714
MYL3,0.7824687
PAK5,0.78234833
SMAD1,0.78229284
PIAS2,0.78224134
TRIM21,0.7822117
ERCC8,0.7822007
APOB,0.7821393
CCL8,0.7821166
NOL6,0.7820438
CSTF1,0.7819781
HK2,0.78197116
UGT1A10,0.78196
TSC1,0.78195256
ATRIP,0.7819519
SUMO1,0.7819195
MALT1,0.7819072
EIF4E,0.7818885
PAX6,0.7817403
FGF1,0.78167915
PDCD4,0.7816791
RIPK3,0.78163755
ATF4,0.7816331
IDH2,0.7816223
S100A9,0.78161883
BUB3,0.7815904
PWP2,0.78158545
